Date,Vessel,VESSEL POSITION,TIME SHIFT +/- HOURS,WIND FORCE BFT,WIND DIRECTION,"ME TIME IN OPERATION, SEA","ME TIME IN OPERATION, MANOEUVRE","ME TIME IN OPERATION, CARGO OPERATION","ME TIME IN OPERATION, TOTAL",DURATION ANCHORAGE DRIFTING,DURATION IN PORT,SEA DISTANCE NM,MANOEUVRE DISTANCE NM,TOTAL DISTANCENM,THEOR AT SEA DISTANCE NM,NOMINAL SLIP %,SPEED ACTUAL KN,AMBIENT SEA WATER TEMP,AMBIENT OUTSIDE AIR TEMP,AMBIENT ENGINE ROOM TEMP,PROP RPM AT SEA,MAIN ENGINE LOAD %,VESSEL MIDSHIP DRAFT,SCAV AIR TEMPERATURE,HIGHEST EXHAUST GAS TEMPERATURE,EXHAUST BEFORE T/C TEMPERATURE,PISTON COOLANT OUTLET TEMPERATURE,CYL COOLANT OUTLET TEMPERATURE,LO INLET MAIN ENGINE TEMPERATURE,STENTUBE BEARING FORE TEMPERATURE,STERNTUBE BEARING AFT TEMPERATURE,FUEL INLET TEMPERATURE,SCAV AIR PRESSURE ,PISTON COOLANT PRESSURE,CYLINDER COOLANT PRESSURE,LO INLET MAIN ENGINE PRESSURE,STERNTUBE LO PRESSURE,STERNTUBE AIR PRESSURE,FUEL INLET PRESSURE,FILTER FLUSHING LO,FILTER FLUSHING FUEL,ME CONSUMPTION HFO AT SEA,ME CONSUMPTION HFO MANOEUVRE,ME CONSUMPTION HFO CARGO OPERATION,ME CONSUMPTION MDO (MGO),AUX ENGINES CONSUMPTION HFO AT SEA,AUX ENGINE CONSUMPTION HFO MANOEUVRE,AUX ENGINES CONSUMPTION HFO PORT,AUX ENGINE CONSUMPTIONS MDO (MGO),AUX ENGINES CONSUMPTION GENERATOR LOAD,"BOILERS, IGG CONSUMPTION HFO AT SEA","BOILERS, IGG CONSUMPTION HFO PORT","BOILERS, IGG CONSUMPTION MANOEUVRE / ANCHOR DRIFTING","BOILERS, IGG CONSUMPTION MDO (MGO)",MAIN ENGINE SUMP LUBOIL CONSUMPTION ,MAIN ENGINE CYL OIL LUBOIL CONSUMPTION,START AIR COMP SUMP LUBOIL CONSUMPTION,AUX ENGINE 1 LUBOIL CONSUMPTION,AUX ENGINE 2 LUBOIL CONSUMPTION,AUX ENGINE 3 LUBOIL CONSUMPTION,MAIN ENGINE RUNNING HOURS,AUX ENGINE 1 RUNNING HOURS,AUX ENGINE 2 RUNNING HOURS,AUX ENGINE 3 RUNNING HOURS,STERN TUBE ADD LO ,FRESH WATER GEN PROD ,1st of Month ME Running HRS,1st of Month AE1 Running HRS,1st of Month AE2 Running HRS,1st of Month AE3 Running HRS,1st of Month ROB HFO,1st of Month ROB MDO,1st of Month ME SUMP OIL,1st of Month ME CYL OIL,1st of Month AE SUMP OIL
01/12/2024,Nordrose,Sea,,5,A,24,,,24,,,312,,312,368.9,15.4,13,26,29,38,82.4,90.5,,44,370,400,55,88,45,,,125,1.6,2.6,4,2.4,,,7.4,12,12,47.7,,,,3.5,,,,,,,,,,355,,,,Running ,24,24,24,1,,20,63745,56873,59791,60517,2445.7,85.5,44000,75860,5780
02/12/2024,Nordrose,Sea,-1,4,B,23,,,23,,,300,,300,347.5,13.7,13,24,28,39,81,89,,43,365,395,55,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,43.6,,,,3.4,,,,,,,,0.1,,350,,,,,23,23,23,1,,,,,,,,,,,
03/12/2024,Nordrose,Sea,,3,B,24,,,24,,,315,,315,365.3,13.8,13.1,23,27,36,81.6,89.7,,42,365,390,54,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,45,,,,3.5,,,,,,,,,,350,,,,,24,10,24,17,,,,,,,,,,,
04/12/2024,Nordrose,Sea,,4,F,24,,,24,,,314,,314,361.9,13.2,13.1,22,22,35,80.9,88.9,,42,365,395,54,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,45.1,,,,3.5,,,,,,,,,,355,,,,,24,24,24,1,,,,,,,,,,,
05/12/2024,Nordrose,Sea,-1,4,F,23,,,23,,,300,,300,347.4,13.6,13,20,20,34,81,89,,41,365,390,54,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,42.6,,,,3.4,,,,,0.4,,,,,345,,,,100,23,3,23,21,,,,,,,,,,,
06/12/2024,Nordrose,Sea,,3,F,24,,,24,,,317,,317,361.9,12.4,13.2,20,20,33,80.9,88.9,,41,360,390,53,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,45.2,,,,3.5,,,,,5,,,,,355,,,,,24,,24,24,,,,,,,,,,,
07/12/2024,Nordrose,Sea,,4,F,24,,,24,,,318,,318,364.2,12.7,13.3,19,22,33,81.4,89.5,,41,360,390,53,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,45.1,,,,3.5,,,,,9.1,,,0.1,,355,,,,,24,2,24,24,,,,,,,,,,,
08/12/2024,Nordrose,Sea,-1,3,C,23,,,23,,,301,,301,346.1,13,13.1,17,17,31,80.7,88.7,,41,360,390,53,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,43.3,,,,3.4,,,,,11.3,,,,700,345,,,200,,23,22,23,2,,,,,,,,,,,
09/12/2024,Nordrose,Sea,,4,F,24,,,24,,,313,,313,314,0.3,13,19,20,33,81.4,89.5,,41,360,385,53,88,45,,,124,1.6,2.6,4,2.4,,,7.4,12,12,45.2,,,,3.5,,,,,10.7,,,,,345,,,,,24,24,24,,70,,,,,,,,,,
10/12/2024,Nordrose,Sea,,7,F,24,,,24,,,301,,301,363.1,17.1,12.5,16,17,32,81.1,89.1,,41,370,400,53,88,45,,,123,1.9,2.6,4,2.4,,,7.4,12,12,45.8,,,,3.5,,,,,10.4,,,,,355,,,,,24,7,24,19,,,,,,,,,,,
